Date,Store1,Store2,Store3,Store4,Store5,Store6,Store7,Store8,Store9,Store10,Store11,Store12,Store13,Store14,Store15,Store16,Store17,Store18,Store19,Store20,Store21,Store22,Store23,Store24,Store25,Store26,Store27,Store28,Store29,Store30,Store31,Store32,Store33,Store34,Store35,Store36,Store37,Store38,Store39,Store40,Store41,Store42,Store43,Store44,Store45
2/1/2010,290,582,771,1180,1285,1746,1988,2232,2286,3000,3124,3324,3900,4018,4200,4144,4760,4932,5491,5780,5565,6028,6532,6912,6875,7176,7722,8008,7685,6060,8835,9152,5412,9860,9345,5472,7178,7562,10764,11200,11685,7896,8170,8404,12330
3/1/2010,290,582,765,1168,1250,1740,1967,2232,2250,2980,3124,3384,3861,4004,4140,4096,4692,4950,5434,5740,5586,6028,6463,6912,6850,7228,7641,7952,7482,6030,8742,9216,5313,9758,9240,5616,7252,7638,10764,11200,11603,7980,8127,8668,12150
4/1/2010,361,714,969,1456,1555,2148,2380,2784,2727,3690,3905,4128,4836,4984,5235,5168,5797,6192,6878,7060,7119,7568,8142,8712,8475,8970,9558,9968,9599,7530,10943,11520,6666,12206,11620,6984,9139,9234,13494,14040,14186,9870,10191,10956,15030
5/1/2010,284,570,753,1140,1235,1692,1876,2208,2178,2890,3069,3252,3835,3948,4170,4080,4573,4914,5453,5640,5712,5984,6371,6792,6800,7124,7668,7896,7685,5790,8804,9248,5676,9656,9170,5976,7252,7448,10803,11040,11562,7686,8127,8536,12060
6/1/2010,280,564,750,1128,1225,1686,1932,2208,2124,2890,3069,3216,3809,3934,4065,4080,4624,4860,5415,5620,5691,6006,6394,6768,6900,7124,7749,7784,7569,5790,8711,9120,5808,9724,9205,6228,7141,7714,10842,11160,11316,7854,8170,8624,12150
7/1/2010,358,704,933,1436,1520,2094,2366,2752,2736,3630,3806,3960,4719,4914,5235,5120,5712,6174,6726,7040,6930,7392,8027,8496,8600,8814,9666,9744,9483,7230,11160,11360,7194,12342,11690,7740,8695,9538,13455,13760,14186,9618,10277,10736,14895
8/1/2010,283,564,744,1144,1230,1698,1876,2208,2133,2850,3003,3132,3783,3864,4080,4048,4539,4878,5301,5600,5502,5984,6394,6816,6825,7020,7641,7924,7598,5850,8835,9120,5808,9656,9345,6228,7030,7638,10881,10880,11275,7896,8428,8448,11745
9/1/2010,287,570,759,1152,1240,1698,1897,2200,2169,2910,3047,3228,3822,3920,4110,4176,4658,4896,5339,5740,5586,5984,6371,6816,6850,7072,7695,7952,7772,5850,8990,9184,6039,9758,9240,6588,7141,7448,10764,11040,11398,7728,8041,8888,12150
10/1/2010,364,714,942,1428,1590,2130,2394,2784,2736,3640,3806,4032,4745,4872,5175,5200,5848,6120,6669,7120,7119,7436,7889,8496,8525,8814,9612,9856,9628,7440,10974,11456,7491,12240,11725,8064,8917,9576,13377,13840,14309,9786,10277,10912,15165
11/1/2010,289,570,762,1144,1255,1698,1911,2224,2178,2900,3036,3228,3796,3892,4095,4144,4641,4932,5396,5700,5628,5896,6371,6744,6800,7072,7722,7896,7830,5910,8804,9152,5841,9928,9240,6552,7067,7486,10842,11320,11316,7770,8041,8536,12105
12/1/2010,357,722,954,1436,1595,2130,2394,2776,2754,3630,3817,4068,4797,4886,5250,5248,5831,6318,6783,7260,7077,7480,7958,8568,8650,8918,9666,9968,9744,7530,11005,11520,7458,12444,11655,8064,8954,9614,13611,14080,14268,9912,10234,10648,15210
1/1/2011,286,578,753,1144,1270,1710,1890,2192,2214,2890,3080,3204,3809,3850,4140,4128,4675,4878,5472,5680,5607,5896,6394,6888,6750,7072,7695,7868,7627,5850,8742,9120,5973,9928,9275,6300,6993,7638,10725,11360,11439,7770,7783,8536,11880
2/1/2011,287,576,753,1148,1275,1710,1911,2208,2223,2890,3036,3240,3809,3878,4170,4208,4641,4968,5339,5760,5607,5896,6555,6888,6925,7072,7668,7896,7598,5820,8773,9120,6006,9928,9310,6228,7215,7638,10608,11280,11480,7938,8127,8536,12015
3/1/2011,290,580,756,1156,1285,1716,1911,2232,2250,2880,3036,3252,3822,3920,4155,4192,4624,4968,5396,5760,5565,5852,6486,6936,6800,7124,7722,7980,7598,6060,8773,9184,6171,10030,9240,6624,7511,7790,10803,11080,11808,8022,8170,8668,12060
4/1/2011,355,714,936,1432,1590,2178,2345,2768,2790,3570,3861,4056,4758,4900,5145,5136,5729,6192,6783,7220,6909,7348,8050,8568,8600,8892,9639,9996,9570,7980,11067,11488,7722,12342,11515,7992,9546,9918,13611,13800,14391,10374,10320,11088,15030
5/1/2011,287,574,765,1152,1280,1722,1897,2200,2223,2880,3102,3228,3809,3976,4140,4096,4675,5004,5377,5720,5586,5830,6578,6912,6825,7176,7830,7924,7714,6360,8804,9152,5973,9792,9310,6444,7659,7904,10920,11120,11439,8232,8084,8932,12105
6/1/2011,284,572,744,1140,1240,1728,1876,2208,2232,2910,3102,3180,3809,3962,4155,4112,4658,4968,5358,5660,5544,5896,6486,6912,6875,7046,7695,7784,7656,6240,8804,9184,5874,9622,9345,6156,7511,7790,10686,11000,11357,8064,7912,8756,12015
7/1/2011,347,702,927,1404,1555,2112,2310,2728,2745,3560,3872,4032,4680,4858,5160,5200,5933,6174,6555,7040,6888,7326,8188,8592,8475,8840,9720,9744,9599,7770,10881,11296,7293,11934,11690,7632,9546,10070,13377,13920,14350,10290,10535,10956,15210
8/1/2011,288,568,735,1132,1245,1716,1855,2232,2250,2880,3102,3240,3796,3934,4125,4096,4709,4860,5415,5740,5502,5918,6578,6888,6850,7176,7830,7868,7772,6090,8773,8992,6270,9724,9310,6192,7548,7866,10764,11280,11521,7896,7869,8888,12420
9/1/2011,360,718,933,1436,1555,2148,2394,2760,2835,3610,3916,4080,4745,4956,5250,5264,5865,5886,6745,7180,6972,7458,8280,8568,8550,9126,9639,9940,9657,7410,11005,11360,7557,12138,11760,7812,9472,9842,13494,14240,14596,10248,9718,11220,15300
10/1/2011,288,570,774,1144,1290,1722,1932,2192,2313,2890,3124,3264,3796,3878,4140,4352,4794,5004,5320,5720,5670,5962,6532,6792,6900,7358,7695,7868,7772,5700,8804,9088,6105,9520,9380,6408,7400,7752,10686,11280,11603,7980,7998,8932,12195
11/1/2011,289,578,777,1156,1285,1734,1932,2232,2304,2910,3135,3264,3809,3906,4260,4368,4709,4986,5415,5760,5712,6006,6555,6912,6975,7332,7695,8036,7685,6000,8773,9152,6171,9724,9310,6336,7474,7676,10842,11400,11685,8274,8342,8756,12240
12/1/2011,365,728,987,1452,1660,2166,2464,2808,2925,3600,3938,4176,4823,4998,5295,5504,5967,6336,6840,7320,7203,7568,8326,8688,8600,9204,9828,10108,9715,7770,11098,11456,7986,12206,11900,8100,9546,10032,13533,14280,14678,10710,10363,11044,15480
1/1/2012,286,574,768,1152,1270,1716,1939,2224,2268,2890,3157,3288,3783,3920,4155,4272,4828,5112,5396,5640,5691,5984,6440,6840,6950,7202,7587,7924,7772,6060,8773,8960,5907,9588,9415,6444,7733,7866,10764,11200,11726,8442,8084,8800,12195
2/1/2012,290,580,768,1152,1300,1746,1946,2256,2259,2890,3124,3324,3861,3948,4215,4320,4777,5022,5472,5760,5691,5940,6486,6936,6900,7306,7830,8036,7714,6270,8928,9184,6072,9656,9380,6300,7770,8284,10803,11440,11767,8316,7955,8932,12285
3/1/2012,357,712,957,1436,1595,2136,2408,2768,2826,3600,3894,4128,4745,4900,5235,5472,5933,6264,6688,7120,7161,7590,8119,8616,8575,9048,9747,9968,9570,7800,11036,11424,8019,11968,11515,7884,9694,9918,13416,13920,14555,10794,10277,11044,15390
4/1/2012,285,578,765,1152,1265,1716,1918,2216,2259,2870,3113,3312,3809,3948,4185,4448,4777,5094,5377,5720,5670,6072,6440,6864,6850,7228,7830,7924,7656,6090,8835,9024,6336,9452,9415,6444,7844,8056,10803,11320,11685,8610,7998,8756,12240
5/1/2012,283,568,756,1144,1250,1698,1869,2192,2250,2830,3113,3300,3783,3990,4170,4384,4743,5022,5415,5760,5649,6050,6509,6840,6925,7098,7695,7980,7656,5760,8742,9152,6006,9486,9380,6444,7807,7942,10647,11280,11808,8694,7869,9064,12150
6/1/2012,354,708,933,1444,1545,2130,2408,2728,2817,3520,3894,4104,4706,4900,5145,5456,5882,6282,6726,7080,7056,7414,8050,8592,8625,8970,9612,9884,9512,7320,10912,11424,7722,11866,11795,7740,9583,10146,13338,14120,14678,10836,10105,11440,15120
7/1/2012,285,574,750,1148,1225,1716,1911,2200,2241,2820,3124,3276,3770,3934,4080,4400,4692,5004,5301,5700,5649,5874,6348,6864,6725,7150,7668,7896,7540,6030,8742,9056,6237,9792,9275,6300,7807,8056,10764,11240,11767,8610,8084,9240,11925
8/1/2012,358,722,939,1452,1540,2136,2373,2776,2799,3520,3927,4080,4732,4956,5130,5376,5865,6300,6688,7140,7056,7414,7981,8616,8575,9074,9666,9856,9483,7470,10881,11328,7722,12172,11725,7848,9731,10222,13611,13960,14760,10836,10148,11748,15210
9/1/2012,289,572,759,1152,1245,1728,1939,2208,2250,2830,3135,3228,3809,3920,4125,4384,4709,4986,5434,5780,5649,6028,6440,6864,6900,7176,7695,7868,7685,5940,8711,9120,6138,9656,9345,6372,7696,8170,10686,11280,11726,8526,8127,9328,12195
10/1/2012,288,574,771,1148,1250,1722,1925,2224,2259,2900,3091,3252,3796,3892,4185,4416,4828,4986,5415,5720,5670,6028,6417,6864,6800,7202,7749,7868,7569,5880,8742,9152,6105,9520,9415,6480,7770,8284,10764,11320,11685,8568,8342,9416,12015
